source,target,weight
monymmorales,cc_guatemala,1
animaldgalaccia,pncdeguatemala,1
animaldgalaccia,mingobguate,1
animaldgalaccia,fjimenezmingob,1
animaldgalaccia,diegoedeleon,1
animaldgalaccia,amilcarmontejo,1
animaldgalaccia,traficogt,1
amilcarmontejo,dorjaen,1
amilcarmontejo,traficogt,1
traficogt,partidoune,1
traficogt,sandratorresgua,1
traficogt,mpguatemala,3
traficogt,barevalodeleon,15
traficogt,jlfont001,1
traficogt,mingobguate,1
traficogt,jmenkos,1
traficogt,cacifguatemala,5
traficogt,minecogt,3
traficogt,minsaludguate,1
traficogt,guatemalagob,3
traficogt,drgiammattei,22
traficogt,rmendezruiz,4
traficogt,sdehonduras,2
traficogt,nayibbukele,2
traficogt,statedept,10
traficogt,alvaroarzue,1
traficogt,ojguatemala,2
traficogt,sandra_jovelp,1
traficogt,eu_commission,1
traficogt,oea_oficial,1
traficogt,frattigiovanni,1
traficogt,raulfalla31,1
traficogt,msemillagt,4
traficogt,statedep,2
traficogt,congresoguate,1
traficogt,lahoragt,1
traficogt,isapaiz_,2
traficogt,camagroguate,1
traficogt,gobiernoguate,1
traficogt,mmendoza_gt,1
traficogt,darwinhk,1
traficogt,marioquan,1
traficogt,guaboomerang,1
traficogt,emisorasunidas,1
traficogt,madridistaguate,1
traficogt,bensywulka,4
traficogt,ninomatute,1
traficogt,sgereda,1
traficogt,marafherrera1,1
traficogt,alcaldequinonez,1
traficogt,servoveritatis,1
traficogt,justiciayagt,2
traficogt,belen_barillas,1
traficogt,luisvonahn,1
estaciondoblea,amilcarmontejo,1
estaciondoblea,aztecanoticiagt,2
estaciondoblea,bancadasemilla,1
estaciondoblea,barevalodeleon,1
estaciondoblea,diputadojp,1
estaciondoblea,emisorasunidas,1
estaciondoblea,ep_investiga,1
estaciondoblea,impactonoticigt,1
estaciondoblea,lahoragt,1
estaciondoblea,mingobguate,1
estaciondoblea,prensacomunitar,1
estaciondoblea,transito_mixco,1
estaciondoblea,dgtguate,1
estaciondoblea,pmt_villanueva,2
estaciondoblea,infotransitogt,1
estaciondoblea,traficogt,2
estaciondoblea,pmt_sanjuansac,1
estaciondoblea,pmtsanlucassac,2
estaciondoblea,yenerplaza,1
estaciondoblea,pmtmuniguate,1
estaciondoblea,fraijanespmt,1
estaciondoblea,pmtoficialamat1,1
aztecanoticiagt,marcoscahuex___,3
aztecanoticiagt,arlettg_,2
aztecanoticiagt,jp_garrido5,1
emisorasunidas,noel_solis,1
emisorasunidas,mpguatemala,1
ep_investiga,sib_guatemala,1
ep_investiga,pavelvga,1
ep_investiga,barevalodeleon,3
ep_investiga,projusticiaguat,1
ep_investiga,jovannagarcon,1
lahoragt,mpguatemala,1
lahoragt,tseguatemala,1
prensacomunitar,bernardocaal2,1
prensacomunitar,cc_guatemala,1
prensacomunitar,sandra_jovelp,1
prensacomunitar,samuel_pz,1
prensacomunitar,_rahina_,1
prensacomunitar,acguatemala,1
prensacomunitar,pncdeguatemala,1
prensacomunitar,ejercito_gt,1
cubreserva,soy_502,6
cubreserva,aztecanoticiagt,4
cubreserva,conapgt,12
cubreserva,denunciaempagua,2
cubreserva,muniguate,4
cubreserva,guatemalagob,2
cubreserva,guatevision_tv,10
cubreserva,pattyo502,5
cubreserva,karinapazgt,3
cubreserva,josechic86,3
cubreserva,vecinosz16,3
cubreserva,traficogt,12
cubreserva,emisorasunidas,11
cubreserva,ep_investiga,3
cubreserva,isapaiz_,4
cubreserva,_ojoconmipisto,2
cubreserva,luisvengt,2
cubreserva,samuel_pz,5
cubreserva,ciudadcayala,1
cubreserva,marnguate,6
cubreserva,publinewsgt,5
cubreserva,quorumgt,1
cubreserva,tn23noticias,1
cubreserva,mmendoza_gt,1
cubreserva,telediariogt,1
cubreserva,nilrilesor,4
cubreserva,oco_motora,1
cubreserva,alex_balsells,1
cubreserva,lahoragt,1
cubreserva,jlfont001,1
cubreserva,jpdardon,1
cubreserva,justiciayagt,1
cubreserva,zoom_502gt,1
cubreserva,plazapublicagt,1
cubreserva,juan_castaju,1
cubreserva,hfmarisol,3
cubreserva,pialaperiodista,3
cubreserva,inabguatemala,9
cubreserva,pedgar05,3
cubreserva,hshetemul,3
cubreserva,ricigt1,3
cubreserva,mynoraroldopab1,1
cubreserva,magaguatemala,4
cubreserva,diariodigitalgt,1
alejandro2024gt,amilcarmontejo,32
alejandro2024gt,pmtmuniguate,2
alejandro2024gt,noti7guatemala,19
alejandro2024gt,nuestrodiario,7
alejandro2024gt,t13noticias,2
alejandro2024gt,aztecaguate,7
alejandro2024gt,traficogt,33
alejandro2024gt,muniguate,8
alejandro2024gt,telediariogt,2
alejandro2024gt,emetragt,3
alejandro2024gt,eegsaguatemala,3
alejandro2024gt,soy_502,2
alejandro2024gt,transmetroguate,4
alejandro2024gt,aztecanoticiagt,8
alejandro2024gt,emisorasunidas,1
alejandro2024gt,prensa_libre,1
julyponce21,traficogt,1
julyponce21,amilcarmontejo,1
julyponce21,pncdeguatemala,1
_ojoconmipisto,drgiammattei,1
alexdel92022343,piero_coen,1
alexdel92022343,fjimenezmingob,1
alexdel92022343,traficogt,1
alexdel92022343,mingobguate,1
alexdel92022343,pncdeguatemala,1
alexdel92022343,diariodeca,1
alexdel92022343,agn_noticias,1
alexdel92022343,radio_tgw,1
alexdel92022343,guatemalagob,1
piero_coen,fjimenezmingob,1
piero_coen,traficogt,1
piero_coen,mingobguate,1
piero_coen,pncdeguatemala,1
piero_coen,diariodeca,1
piero_coen,agn_noticias,1
piero_coen,radio_tgw,1
piero_coen,guatemalagob,1
bullgarrafuerte,erwin_fern84019,1
bullgarrafuerte,piero_coen,1
bullgarrafuerte,fjimenezmingob,1
bullgarrafuerte,traficogt,1
bullgarrafuerte,mingobguate,1
bullgarrafuerte,pncdeguatemala,1
bullgarrafuerte,diariodeca,1
bullgarrafuerte,agn_noticias,1
bullgarrafuerte,radio_tgw,1
bullgarrafuerte,guatemalagob,1
erwin_fern84019,piero_coen,1
erwin_fern84019,fjimenezmingob,1
erwin_fern84019,traficogt,1
erwin_fern84019,mingobguate,1
erwin_fern84019,pncdeguatemala,1
erwin_fern84019,diariodeca,1
erwin_fern84019,agn_noticias,1
erwin_fern84019,radio_tgw,1
erwin_fern84019,guatemalagob,1
dbeatrizmb,luisficarpediem,1
dbeatrizmb,traficogt,4
dbeatrizmb,templario_gt,1
